marca,modelo,ano_fabricacao,ano_modelo,valor_carro,quantidade_vendas,quantidade_procuras_nao_vendidas,total_procuras,valor_total_vendas
Chevrolet,Onix,2015,2015,42000,250,80,330,10500000
Chevrolet,Prisma,2015,2015,38000,180,55,235,6840000
Chevrolet,S10,2015,2015,85000,65,25,90,5525000
Chevrolet,Spin,2015,2015,48000,120,40,160,5760000
Chevrolet,Cruze,2015,2015,52000,95,35,130,4940000
Chevrolet,Onix,2016,2016,43000,270,85,355,11610000
Chevrolet,Prisma,2016,2016,39000,190,60,250,7410000
Chevrolet,S10,2016,2016,87000,70,20,90,6090000
Chevrolet,Trailblazer,2016,2016,95000,45,15,60,4275000
Chevrolet,Onix,2017,2017,44000,290,90,380,12760000
Chevrolet,Prisma,2017,2017,40000,200,65,265,8000000
Chevrolet,S10,2017,2017,89000,75,22,97,6675000
Chevrolet,Trailblazer,2017,2017,98000,50,18,68,4900000
Chevrolet,Cruze,2017,2017,55000,85,30,115,4675000
Chevrolet,Onix,2018,2018,45000,310,95,405,13950000
Chevrolet,Prisma,2018,2018,41000,210,70,280,8610000
Chevrolet,S10,2018,2018,92000,80,25,105,7360000
Chevrolet,Trailblazer,2018,2018,102000,55,20,75,5610000
Chevrolet,Onix Plus,2018,2019,48000,130,35,165,6240000
Chevrolet,Onix,2019,2019,46000,330,100,430,15180000
Chevrolet,Onix Plus,2019,2019,49000,150,40,190,7350000
Chevrolet,Tracker,2019,2019,68000,110,35,145,7480000
Chevrolet,S10,2019,2019,95000,85,28,113,8075000
Chevrolet,Trailblazer,2019,2019,108000,60,22,82,6480000
Chevrolet,Onix,2020,2020,47000,350,105,455,16450000
Chevrolet,Onix Plus,2020,2020,50000,170,45,215,8500000
Chevrolet,Tracker,2020,2020,72000,130,40,170,9360000
Chevrolet,S10,2020,2020,98000,90,30,120,8820000
Chevrolet,Montana,2020,2020,52000,95,30,125,4940000
Chevrolet,Onix,2021,2021,48000,360,110,470,17280000
Chevrolet,Onix Plus,2021,2021,51000,180,50,230,9180000
Chevrolet,Tracker,2021,2021,75000,150,45,195,11250000
Chevrolet,S10,2021,2021,102000,95,32,127,9690000
Chevrolet,Montana,2021,2021,54000,110,35,145,5940000
Chevrolet,Onix,2022,2022,49000,370,115,485,18130000
Chevrolet,Onix Plus,2022,2022,52000,190,55,245,9880000
Chevrolet,Tracker,2022,2022,78000,170,50,220,13260000
Chevrolet,S10,2022,2022,105000,100,35,135,10500000
Chevrolet,Equinox,2022,2022,125000,45,15,60,5625000
Chevrolet,Onix,2023,2023,50000,380,120,500,19000000
Chevrolet,Onix Plus,2023,2023,53000,200,60,260,10600000
Chevrolet,Tracker,2023,2023,80000,180,55,235,14400000
Chevrolet,S10,2023,2023,108000,105,38,143,11340000
Chevrolet,Equinox,2023,2023,128000,50,18,68,6400000
Chevrolet,Onix,2024,2024,51000,390,125,515,19890000
Chevrolet,Onix Plus,2024,2024,54000,210,65,275,11340000
Chevrolet,Tracker,2024,2024,82000,190,60,250,15580000
Chevrolet,S10,2024,2024,112000,110,40,150,12320000
Chevrolet,Equinox,2024,2024,132000,55,20,75,7260000
Chevrolet,Blazer EV,2024,2024,185000,25,8,33,4625000
Chevrolet,Onix,2025,2025,52000,350,100,450,18200000
Chevrolet,Onix Plus,2025,2025,55000,220,70,290,12100000
Chevrolet,Tracker,2025,2025,84000,200,65,265,16800000
Chevrolet,S10,2025,2025,115000,115,42,157,13225000
Chevrolet,Blazer EV,2025,2025,190000,30,10,40,5700000
Chevrolet,Equinox EV,2025,2025,165000,20,5,25,3300000
