marca,modelo,ano_fabricacao,ano_modelo,valor_carro,quantidade_vendas,quantidade_procuras_nao_vendidas,total_procuras,valor_total_vendas
Volkswagen,Golf,2015,2015,45000,120,45,165,5400000
Volkswagen,Polo,2015,2015,38000,180,60,240,6840000
Volkswagen,Golf,2015,2016,47000,95,35,130,4465000
Volkswagen,Jetta,2015,2015,52000,110,40,150,5720000
Volkswagen,Amarok,2015,2015,85000,70,25,95,5950000
Volkswagen,Up!,2015,2015,32000,200,55,255,6400000
Volkswagen,Voyage,2015,2015,35000,160,45,205,5600000
Volkswagen,Saveiro,2015,2015,42000,90,30,120,3780000
Volkswagen,Golf,2016,2016,46000,115,40,155,5290000
Volkswagen,Polo,2016,2016,39000,190,55,245,7410000
Volkswagen,Jetta,2016,2016,53000,105,35,140,5565000
Volkswagen,Amarok,2016,2016,87000,75,20,95,6525000
Volkswagen,T-Cross,2016,2017,68000,60,25,85,4080000
Volkswagen,Virtus,2016,2017,55000,85,30,115,4675000
Volkswagen,Golf,2017,2017,47000,125,45,170,5875000
Volkswagen,Polo,2017,2017,40000,210,60,270,8400000
Volkswagen,Jetta,2017,2017,54000,100,35,135,5400000
Volkswagen,Amarok,2017,2017,89000,80,25,105,7120000
Volkswagen,T-Cross,2017,2017,70000,95,30,125,6650000
Volkswagen,Virtus,2017,2017,57000,110,35,145,6270000
Volkswagen,Golf,2018,2018,48000,130,40,170,6240000
Volkswagen,Polo,2018,2018,41000,220,65,285,9020000
Volkswagen,Jetta,2018,2018,55000,95,30,125,5225000
Volkswagen,Amarok,2018,2018,92000,85,20,105,7820000
Volkswagen,T-Cross,2018,2018,72000,120,35,155,8640000
Volkswagen,Virtus,2018,2018,59000,130,40,170,7670000
Volkswagen,Tiguan,2018,2018,105000,70,25,95,7350000
Volkswagen,Golf,2019,2019,49000,135,45,180,6615000
Volkswagen,Polo,2019,2019,42000,230,70,300,9660000
Volkswagen,T-Cross,2019,2019,75000,210,40,250,15750000
Volkswagen,Tiguan,2019,2019,110000,85,30,115,9350000
Volkswagen,Virtus,2019,2019,65000,150,35,185,9750000
Volkswagen,Nivus,2019,2020,78000,95,25,120,7410000
Volkswagen,Jetta,2019,2019,57000,100,35,135,5700000
Volkswagen,Amarok,2019,2019,95000,75,20,95,7125000
Volkswagen,Golf,2020,2020,50000,140,45,185,7000000
Volkswagen,Polo,2020,2020,43000,240,75,315,10320000
Volkswagen,T-Cross,2020,2020,78000,180,45,225,14040000
Volkswagen,Nivus,2020,2020,82000,180,45,225,14760000
Volkswagen,Virtus,2020,2020,67000,160,40,200,10720000
Volkswagen,Taos,2020,2021,92000,100,30,130,9200000
Volkswagen,ID.3,2020,2020,125000,50,20,70,6250000
Volkswagen,Golf,2021,2021,51000,130,40,170,6630000
Volkswagen,Polo,2021,2021,44000,250,80,330,11000000
Volkswagen,T-Cross,2021,2021,80000,190,50,240,15200000
Volkswagen,Taos,2021,2021,95000,120,25,145,11400000
Volkswagen,Nivus,2021,2021,85000,170,40,210,14450000
Volkswagen,ID.4,2021,2021,145000,60,15,75,8700000
Volkswagen,Golf,2022,2022,52000,125,35,160,6500000
Volkswagen,Polo,2022,2022,45000,260,85,345,11700000
Volkswagen,T-Cross,2022,2022,82000,200,55,255,16400000
Volkswagen,ID.3,2022,2022,135000,65,20,85,8775000
Volkswagen,ID.4,2022,2022,150000,70,18,88,10500000
Volkswagen,Amarok,2022,2022,110000,65,20,85,7150000
Volkswagen,Golf,2023,2023,53000,120,30,150,6360000
Volkswagen,Polo,2023,2023,46000,270,90,360,12420000
Volkswagen,T-Cross,2023,2023,84000,210,60,270,17640000
Volkswagen,ID.4,2023,2023,155000,80,15,95,12400000
Volkswagen,Virtus,2023,2023,70000,140,35,175,9800000
Volkswagen,Nivus,2023,2023,87000,150,35,185,13050000
Volkswagen,Golf,2024,2024,54000,115,25,140,6210000
Volkswagen,Polo,2024,2024,47000,280,95,375,13160000
Volkswagen,T-Cross,2024,2024,86000,220,65,285,18920000
Volkswagen,Amarok,2024,2024,125000,45,12,57,5625000
Volkswagen,ID.4,2024,2024,160000,85,20,105,13600000
Volkswagen,ID.Buzz,2024,2024,175000,30,10,40,5250000
Volkswagen,Golf,2025,2025,55000,100,20,120,5500000
Volkswagen,Polo,2025,2025,48000,250,80,330,12000000
Volkswagen,T-Cross,2025,2025,88000,200,60,260,17600000
Volkswagen,ID.Buzz,2025,2025,180000,25,8,33,4500000
Volkswagen,ID.7,2025,2025,195000,20,5,25,3900000
